Billing Country,Billing State,Browser,Created By,Device Brand,Device Type,Email Permission,Email Status,Email Status Reason,Event Type,Order Source,Order Status,Os,Os Version,Payment Method,Segment,Updated By,Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
NG,Ogun,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,37500,3,3,0,3442000,11500
NG,Imo,Samsung Internet,-5,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,7,Bank Transfer or Bank Deposit,customer,-5,39000,3,3,0,3000000,11500
NG,Ogun,Chrome,-5,Generic_Android_Tablet,T,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,63000,4,4,0,2875000,14750
Unknown,Unknown,Chrome Mobile,-13,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,88000,4,4,0,2740000,20500
Unknown,Unknown,Chrome Mobile,-13,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Bank Transfer or Bank Deposit,customer,-5,1000,1,1,0,2636000,295000
Unknown,Unknown,Chrome Mobile,-13,Tecno,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,27800,2,2,0,2320850,13000
Unknown,Unknown,Chrome Mobile,-13,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Pay with a Debit/Credit Card or Online with Bank,customer,-5,15500,1,1,0,2170000,14750
NG,Lagos,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,24950,7,5,0,2110000,650
Unknown,Unknown,Chrome Mobile,-5,Huawei,M,TRUE,P,SB,order,checkout,completed,Android,8,Pay with a Debit/Credit Card or Online with Bank,customer,-5,25000,2,2,0,2102300,11500
Unknown,Unknown,Chrome Mobile,-13,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,26000,2,2,0,2000000,12000
NG,Rivers,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,refunded,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,12750,1,1,0,1905080,11500
NG,Rivers,Opera Mobile,-5,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,7,Bank Transfer or Bank Deposit,customer,-5,12750,1,1,1250,1876500,11500
NG,Abia,UC Browser,-5,Gionee,M,TRUE,A,Unknown,order,checkout,completed,Android,6,Pay with a Debit/Credit Card or Online with Bank,customer,-5,16250,1,1,0,1795000,14750
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,16250,1,1,0,1750000,14750
NG,Anambra,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,165750,13,13,0,1725000,11500
NG,Delta,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,42000,3,3,0,1611000,13000
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,P,HB,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,36250,1,1,0,1513990,35250
NG,Ogun,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,14000,1,1,0,1381500,13000
Unknown,Unknown,Chrome Mobile,-5,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,22000,1,1,0,1365200,20500
NG,Federal Capital Territory,Unknown,-5,Unknown,Unknown,FALSE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,5775,3,3,0,1340790,16750
NG,Edo,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,73000,4,4,0,1256000,16750
NG,Delta,Chrome Mobile,-5,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,88750,5,5,0,1156516,16750
NG,Lagos,Firefox Mobile,-5,Generic,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,64500,4,2,0,1155000,17250
Unknown,Unknown,Chrome Mobile,-13,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,48000,3,3,0,1140000,15000
Unknown,Unknown,Chrome Mobile,-13,Nokia,M,TRUE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,2400,1,1,0,1129250,2400
NG,Federal Capital Territory,Chrome Mobile,-5,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Bank Transfer or Bank Deposit,customer,-5,3900,1,1,0,1110000,3000
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,72000,4,4,0,1098340,16750
NG,Lagos,Firefox,-5,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Pay with a Debit/Credit Card or Online with Bank,customer,-5,31000,2,1,0,1098000,13000
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,8,Bank Transfer or Bank Deposit,customer,-5,13750,1,1,0,1076050,13000
NG,Katsina,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,81755,5,5,0,1027800,16000
