Order Status (Dummy) ,Segment (Dummy),Total Amount,Unit Price
1,2,3442000,11500
1,2,3000000,11500
1,2,2875000,14750
1,2,2740000,20500
1,2,2636000,295000
1,2,2320850,13000
1,2,2170000,14750
1,2,2110000,650
1,2,2102300,11500
1,2,2000000,12000
4,2,1905080,11500
1,2,1876500,11500
1,2,1795000,14750
1,2,1750000,14750
1,2,1725000,11500
1,2,1611000,13000
1,2,1513990,35250
1,2,1381500,13000
1,2,1365200,20500
1,2,1340790,16750
1,2,1256000,16750
1,2,1156516,16750
1,2,1155000,17250
1,2,1140000,15000
1,2,1129250,2400
1,2,1110000,3000
1,2,1098340,16750
1,2,1098000,13000
1,2,1076050,13000
1,2,1027800,16000
1,2,1027300,20500
1,3,1020000,13000
4,2,1020000,520
1,2,1016000,1620
1,2,959100,20500
1,2,944500,16000
1,2,908600,16750
1,2,899200,16750
1,3,820000,34000
1,2,800000,16750
1,2,776000,16750
1,2,767400,13000
1,2,759500,15000
1,2,733500,13000
1,2,704400,18000
1,2,669000,18000
1,2,637950,15500
1,2,630000,16750
1,2,627500,17250
1,2,622465,18000
1,2,618200,3500
1,2,618000,16750
1,2,614000,18000
1,2,585000,13000
1,2,583650,16750
1,2,565000,2000
1,2,540000,13000
1,2,523365,3500
1,2,494000,17250
1,2,481000,74500
1,2,480000,7100
1,2,467800,17550
1,2,466500,230000
1,2,464800,17500
1,2,462000,1600
1,2,462000,72000
1,2,460600,18500
1,2,460000,17500
1,2,453500,20750
1,2,452700,18500
1,2,447500,3500
1,2,440000,1700
1,2,438750,18500
1,2,431500,18500
1,2,430000,20500
1,2,430000,18500
1,2,429750,18500
1,2,426012,3500
1,2,425250,18500
1,2,422500,79500
1,2,421400,3500
1,2,420000,14500
1,2,406400,19750
1,2,402200,16500
1,2,400000,14500
1,2,390000,7100
1,2,390000,13750
1,2,389900,3400
1,2,388000,1200
1,2,381500,18500
1,2,379000,51500
1,2,367500,21500
1,2,357300,2500
1,2,355000,20000
1,2,353000,20000
1,2,341250,21500
1,2,339000,21500
1,2,336000,3000
1,2,332500,19750
1,2,331400,1700
1,2,325400,17250
1,2,325000,2400
1,2,315600,20750
1,2,300000,20500
2,2,296650,79500
1,2,281400,2750
1,2,276500,21500
1,2,273300,21500
1,2,270000,10000
1,2,267800,19000
1,2,265800,20000
1,2,264000,35000
1,2,259000,21500
1,2,254600,20500
1,2,251800,3000
1,2,247900,14500
1,2,246600,9700
1,2,239500,500
1,2,235150,1100000
1,2,234300,1950
1,1,43200,1850
1,1,43200,900
1,1,43100,22000
1,1,43100,20500
1,2,43000,2500
1,2,43000,57000
1,1,43000,23000
1,2,43000,1620
1,2,42800,18500
1,2,42500,20500
2,2,42500,18500
1,1,42400,3000
1,2,42350,51500
1,2,42300,18500
1,3,42250,19000
2,2,42150,15000
1,2,42000,14500
1,2,42000,15500
1,2,42000,19500
1,1,41800,2500
1,1,41500,3000
1,1,41500,42000
1,1,41400,150
1,1,41250,47000
1,1,41000,1200
1,2,41000,40000
1,2,41000,200000
1,2,41000,16750
4,2,40500,600
