Billing Country (Dummy),Billing State (Dummy),Browser (Dummy),Created By (Dummy),Device Brand (Dummy),Device Type (Dummy),Email Status (Dummy),Event Type (Dummy),Order Source (Dummy),Order Status (Dummy) ,Os (Dummy),Os Version (Dummy),Payment Method (Dummy),Segment (Dummy),Updated By (Dummy),Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,37500,3,3,0,3442000,11500
2,4,4,2,4,2,2,2,2,1,2,4,2,2,1,39000,3,3,0,3000000,11500
2,4,2,2,4,4,2,2,2,1,2,2,2,2,1,63000,4,4,0,2875000,14750
1,1,3,1,4,2,2,2,2,1,2,4,2,2,1,88000,4,4,0,2740000,20500
1,1,3,1,4,2,2,2,2,1,2,3,2,2,1,1000,1,1,0,2636000,295000
1,1,3,1,2,2,2,2,2,1,2,4,2,2,1,27800,2,2,0,2320850,13000
1,1,3,1,3,2,2,2,2,1,2,4,3,2,1,15500,1,1,0,2170000,14750
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,24950,7,5,0,2110000,650
1,1,3,2,4,2,3,2,2,1,2,3,3,2,1,25000,2,2,0,2102300,11500
1,1,3,1,3,2,2,2,2,1,2,2,2,2,1,26000,2,2,0,2000000,12000
2,2,1,2,1,1,2,2,2,4,1,1,2,2,1,12750,1,1,0,1905080,11500
2,2,4,2,3,2,2,2,2,1,2,4,2,2,1,12750,1,1,1250,1876500,11500
2,4,4,2,4,2,2,2,2,1,2,4,3,2,1,16250,1,1,0,1795000,14750
1,1,2,1,1,3,2,2,2,1,3,3,2,2,1,16250,1,1,0,1750000,14750
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,165750,13,13,0,1725000,11500
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,42000,3,3,0,1611000,13000
1,1,2,1,1,3,3,2,2,1,3,3,2,2,1,36250,1,1,0,1513990,35250
2,4,2,1,1,3,2,2,2,1,3,3,2,2,1,14000,1,1,0,1381500,13000
1,1,3,2,4,2,2,2,2,1,2,2,2,2,1,22000,1,1,0,1365200,20500
2,3,1,2,1,1,2,2,2,1,1,1,2,2,1,5775,3,3,0,1340790,16750
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,73000,4,4,0,1256000,16750
2,4,3,2,3,2,2,2,2,1,2,4,2,2,1,88750,5,5,0,1156516,16750
2,4,4,2,4,2,2,2,2,1,2,2,2,2,1,64500,4,2,0,1155000,17250
1,1,3,1,3,2,2,2,2,1,2,4,2,2,1,48000,3,3,0,1140000,15000
1,1,3,1,4,2,2,2,2,1,2,4,2,2,1,2400,1,1,0,1129250,2400
2,3,3,2,3,2,2,2,2,1,2,3,2,2,1,3900,1,1,0,1110000,3000
1,1,2,1,1,3,2,2,2,1,3,3,2,2,1,72000,4,4,0,1098340,16750
2,4,4,2,1,3,2,2,2,1,3,2,3,2,1,31000,2,1,0,1098000,13000
1,1,2,1,1,3,2,2,2,1,3,3,2,2,1,13750,1,1,0,1076050,13000
2,4,1,2,1,1,2,2,2,1,1,1,2,2,1,81755,5,5,0,1027800,16000
1,1,2,1,1,3,2,2,2,1,3,3,2,2,1,21750,1,1,0,1027300,20500
